bacterial infections and mycoses,['c01']
goldenhar syndrome,"['c05.116.099.370.231.576.410', 'c05.660.207.231.576.410', 'c16.131.621.207.231.576.410']"
focal dermal hypoplasia,"['c05.116.099.370.380', 'c16.131.077.350.424', 'c16.131.831.350.424', 'c16.320.322.186', 'c16.320.850.250.424', 'c17.800.804.350.424', 'c17.800.827.250.424']"
klippel-feil syndrome,"['c05.116.099.370.535', 'c05.660.551', 'c16.131.621.551']"
orofaciodigital syndromes,"['c05.116.099.370.652', 'c05.660.207.700', 'c16.131.077.677', 'c16.131.260.830.670', 'c16.131.621.207.700', 'c16.320.180.830.670']"
rubinstein-taybi syndrome,"['c05.116.099.370.797', 'c05.660.207.850', 'c10.597.606.643.700', 'c16.131.077.804', 'c16.131.260.790', 'c16.131.621.207.850', 'c16.320.180.790']"
synostosis,"['c05.116.099.370.894', 'c05.660.906', 'c16.131.621.906']"
antley-bixler syndrome phenotype,"['c05.116.099.370.894.115', 'c05.660.906.181', 'c16.131.621.906.181', 'c16.320.565.925.324', 'c18.452.648.925.324']"
craniosynostoses,"['c05.116.099.370.894.232', 'c05.660.207.240', 'c05.660.207.707.249', 'c05.660.906.364', 'c16.131.621.207.240', 'c16.131.621.207.707.249', 'c16.131.621.906.364']"
acrocephalosyndactylia,"['c05.116.099.370.894.232.015', 'c05.116.099.370.894.819.100', 'c05.660.207.240.100', 'c05.660.207.707.249.100', 'c05.660.585.800.100', 'c05.660.906.364.100', 'c05.660.906.819.100', 'c16.131.621.207.240.100', 'c16.131.621.207.707.249.100', 'c16.131.621.585.800.100', 'c16.131.621.906.364.100', 'c16.131.621.906.819.100']"
syndactyly,"['c05.116.099.370.894.819', 'c05.660.585.800', 'c05.660.906.819', 'c16.131.621.585.800', 'c16.131.621.906.819']"
poland syndrome,"['c05.116.099.370.894.819.756', 'c05.660.585.800.756', 'c05.660.906.819.756', 'c16.131.621.585.800.756', 'c16.131.621.906.819.756']"
funnel chest,"['c05.116.099.386', 'c05.660.386', 'c16.131.621.386']"
gigantism,"['c05.116.099.492', 'c05.116.132.479', 'c19.700.355.528']"
leg length inequality,"['c05.116.099.655', 'c23.300.808']"
marfan syndrome,"['c05.116.099.674', 'c14.240.400.725', 'c14.280.400.725', 'c16.131.077.550', 'c16.131.240.400.720', 'c16.320.540', 'c17.300.500']"
osteochondrodysplasias,['c05.116.099.708']
acquired hyperostosis syndrome,['c05.116.099.708.025']
camurati-engelmann syndrome,"['c05.116.099.708.180', 'c16.320.144']"
chondrodysplasia punctata,['c05.116.099.708.195']
"chondrodysplasia punctata, rhizomelic","['c05.116.099.708.195.200', 'c16.320.565.663.200', 'c18.452.648.663.200']"
cleidocranial dysplasia,"['c05.116.099.708.207', 'c05.660.207.207', 'c16.131.621.207.207']"
ellis-van creveld syndrome,"['c05.116.099.708.327', 'c16.131.077.350.398', 'c16.131.831.350.398', 'c16.320.850.250.398', 'c17.800.804.350.398', 'c17.800.827.250.398']"
enchondromatosis,['c05.116.099.708.338']
fibrous dysplasia of bone,['c05.116.099.708.375']
cherubism,"['c05.116.099.708.375.199', 'c05.500.174', 'c07.320.173', 'c16.131.621.207.540.170', 'c16.320.170']"
"fibrous dysplasia, monostotic",['c05.116.099.708.375.372']
"fibrous dysplasia, polyostotic",['c05.116.099.708.375.381']
"hyperostosis, cortical, congenital","['c05.116.099.708.479', 'c05.116.540.400', 'c16.614.465']"
hyperostosis frontalis interna,"['c05.116.099.708.486', 'c05.116.540.420']"
kashin-beck disease,['c05.116.099.708.534']
langer-giedion syndrome,['c05.116.099.708.582']
osteogenesis imperfecta,"['c05.116.099.708.685', 'c16.320.737', 'c17.300.200.540']"
osteosclerosis,['c05.116.099.708.702']
melorheostosis,['c05.116.099.708.702.593']
osteopetrosis,['c05.116.099.708.702.678']
osteopoikilosis,"['c05.116.099.708.702.685', 'c17.300.705']"
pycnodysostosis,"['c05.116.099.708.779', 'c16.320.565.595.800', 'c16.320.812', 'c18.452.648.595.800']"
short rib-polydactyly syndrome,"['c05.116.099.708.857', 'c05.660.585.600.750', 'c16.131.077.850', 'c16.131.621.585.600.750']"
slipped capital femoral epiphyses,"['c05.116.099.708.928', 'c05.116.425.500']"
"osteolysis, essential","['c05.116.099.736', 'c05.116.264.579.704']"
platybasia,"['c05.116.099.742', 'c05.116.900.540', 'c05.660.207.720', 'c16.131.621.207.720']"
"bone diseases, endocrine","['c05.116.132', 'c19.149']"
acromegaly,"['c05.116.132.082', 'c10.228.140.617.738.250.100', 'c19.700.355.179']"
osteitis fibrosa cystica,['c05.116.132.684']
"bone diseases, metabolic",['c05.116.198']
"bone demineralization, pathologic",['c05.116.198.247']
"decalcification, pathologic","['c05.116.198.247.400', 'c18.452.174.289']"
mucolipidoses,"['c05.116.198.371', 'c10.228.140.163.100.435.590', 'c16.320.565.189.435.590', 'c16.320.565.202.670', 'c16.320.565.595.554.590', 'c18.452.132.100.435.590', 'c18.452.648.189.435.590', 'c18.452.648.202.670', 'c18.452.648.595.554.590']"
osteomalacia,"['c05.116.198.495', 'c18.452.174.662', 'c18.654.521.500.133.770.496']"
osteoporosis,['c05.116.198.579']
female athlete triad syndrome,"['c05.116.198.579.304', 'c19.391.240']"
"osteoporosis, postmenopausal",['c05.116.198.579.610']
pseudohypoparathyroidism,"['c05.116.198.709', 'c16.320.565.618.815', 'c18.452.174.766', 'c18.452.648.618.815']"
pseudopseudohypoparathyroidism,"['c05.116.198.709.628', 'c16.320.565.618.815.815', 'c18.452.174.766.815', 'c18.452.648.618.815.815']"
renal osteodystrophy,"['c05.116.198.762', 'c05.116.198.816.750', 'c12.777.419.795', 'c13.351.968.419.795', 'c18.452.174.845.750', 'c18.654.521.500.133.770.734.750', 'c19.642.355.480.500']"
rickets,"['c05.116.198.816', 'c18.452.174.845', 'c18.654.521.500.133.770.734']"
"hypophosphatemic rickets, x-linked dominant","['c05.116.198.816.500', 'c12.777.419.815.647.500', 'c13.351.968.419.815.647.500', 'c16.320.322.239', 'c16.320.565.618.544.500', 'c16.320.565.861.647.500', 'c18.452.174.845.500', 'c18.452.648.618.544.500', 'c18.452.648.861.647.500', 'c18.654.521.500.133.770.734.500']"
bone malalignment,['c05.116.214']
bone anteversion,"['c05.116.214.500', 'c23.300.970.249']"
coxa vara,"['c05.116.214.500.500', 'c05.550.353', 'c23.300.970.249.500']"
bone retroversion,"['c05.116.214.750', 'c23.300.970.374']"
coxa valga,"['c05.116.214.750.500', 'c05.116.327', 'c05.550.338', 'c23.300.970.374.500']"
bone resorption,['c05.116.264']
ainhum,['c05.116.264.143']
alveolar bone loss,"['c05.116.264.150', 'c07.465.714.354.500']"
osteolysis,['c05.116.264.579']
eosinophilic granuloma,"['c05.116.391', 'c08.381.483.375.500', 'c15.378.553.231.348', 'c15.604.250.400.360', 'c23.550.382.250']"
"epiphyses, slipped",['c05.116.425']
genu valgum,['c05.116.482']
genu varum,['c05.116.511']
hyperostosis,['c05.116.540']
exostoses,['c05.116.540.310']
heel spur,"['c05.116.540.310.600', 'c05.360.400']"
osteophyte,['c05.116.540.310.800']
"hyperostosis, diffuse idiopathic skeletal","['c05.116.540.410', 'c05.116.900.815.651']"
"hyperostosis, sternocostoclavicular","['c05.116.540.600', 'c05.799.440', 'c17.300.775.440']"
osteitis deformans,['c05.116.692']
"osteoarthropathy, primary hypertrophic","['c05.116.725', 'c05.550.648']"
"osteoarthropathy, secondary hypertrophic","['c05.116.758', 'c05.550.684']"
osteochondritis,"['c05.116.791', 'c05.182.520', 'c17.300.182.520']"
osteochondritis dissecans,['c05.116.791.668']
osteochondrosis,['c05.116.821']
spinal osteochondrosis,"['c05.116.821.500', 'c05.116.900.808']"
scheuermann disease,"['c05.116.821.500.500', 'c05.116.900.800.500.500', 'c05.116.900.808.500']"
osteonecrosis,"['c05.116.852', 'c23.550.717.732']"
bisphosphonate-associated osteonecrosis of the jaw,"['c05.116.852.087', 'c05.500.086', 'c07.320.086', 'c23.550.717.732.183']"
femur head necrosis,"['c05.116.852.175', 'c23.550.717.732.368']"
legg-calve-perthes disease,['c05.116.852.175.570']
spinal diseases,['c05.116.900']
intervertebral disc degeneration,['c05.116.900.153']
intervertebral disc displacement,"['c05.116.900.307', 'c23.300.707.952']"
ossification of posterior longitudinal ligament,"['c05.116.900.480', 'c23.550.751.500']"
posterior cervical sympathetic syndrome,['c05.116.900.596']
spinal curvatures,['c05.116.900.800']
kyphosis,['c05.116.900.800.500']
lordosis,['c05.116.900.800.750']
scoliosis,['c05.116.900.800.875']
spinal osteophytosis,['c05.116.900.815']
spinal stenosis,['c05.116.900.825']
spondylarthritis,"['c05.116.900.853.625', 'c05.550.114.865']"
"osteoarthritis, spine","['c05.116.900.853.625.399', 'c05.550.114.606.750', 'c05.550.114.865.399', 'c05.799.613.750']"
spondylarthropathies,"['c05.116.900.853.625.800', 'c05.550.114.865.800']"
"arthritis, psoriatic","['c05.116.900.853.625.800.424', 'c05.550.114.145', 'c05.550.114.865.800.424', 'c17.800.859.675.175']"
"spondylitis, ankylosing","['c05.116.900.853.625.800.850', 'c05.550.069.680', 'c05.550.114.865.800.850']"
spondylosis,['c05.116.900.938']
spondylolysis,['c05.116.900.938.500']
spondylolisthesis,['c05.116.900.938.500.500']
cartilage diseases,"['c05.182', 'c17.300.182']"
chondromalacia patellae,"['c05.182.100', 'c17.300.182.100']"
laryngomalacia,"['c05.182.310', 'c08.360.563', 'c09.400.563', 'c16.131.621.568', 'c17.300.182.310']"
"polychondritis, relapsing","['c05.182.531', 'c17.300.182.531']"
tietze's syndrome,"['c05.182.790', 'c17.300.182.790']"
tracheobronchomalacia,"['c05.182.895', 'c08.127.719', 'c08.907.796', 'c16.131.621.953', 'c17.300.182.895']"
bronchomalacia,"['c05.182.895.249', 'c08.127.719.500', 'c16.131.621.953.249', 'c17.300.182.895.249']"
tracheomalacia,"['c05.182.895.500', 'c08.907.796.500', 'c16.131.621.953.500', 'c17.300.182.895.500']"
fasciitis,['c05.321']
"fasciitis, plantar","['c05.321.600', 'c05.360.350']"
foot deformities,['c05.330']
flatfoot,['c05.330.448']
"foot deformities, acquired",['c05.330.488']
"bunion, tailor's",['c05.330.488.099']
equinus deformity,['c05.330.488.200']
hallux limitus,"['c05.330.488.300', 'c05.550.445']"
hallux rigidus,"['c05.330.488.310', 'c05.550.450']"
"foot deformities, congenital","['c05.330.495', 'c05.660.585.512.380', 'c16.131.621.585.380']"
clubfoot,"['c05.330.495.150', 'c05.660.585.512.380.500', 'c16.131.621.585.380.500']"
hallux valgus,['c05.330.610']
hallux varus,['c05.330.612']
hammer toe syndrome,['c05.330.615']
foot diseases,"['c05.360', 'c17.800.321']"
metatarsalgia,"['c05.360.500', 'c05.550.610', 'c10.597.617.560', 'c23.888.592.612.540', 'c23.888.646.498']"
posterior tibial tendon dysfunction,['c05.360.750']
hand deformities,['c05.390']
"hand deformities, acquired",['c05.390.110']
"hand deformities, congenital","['c05.390.408', 'c05.660.585.988.425', 'c16.131.621.585.425']"
jaw diseases,"['c05.500', 'c07.320']"
"granuloma, giant cell","['c05.500.368', 'c07.320.391', 'c07.465.714.258.557', 'c23.550.382.468']"
jaw abnormalities,"['c05.500.460', 'c05.660.207.540.460', 'c07.320.440', 'c07.650.500.460', 'c16.131.621.207.540.460', 'c16.131.850.500.460']"
cleft palate,"['c05.500.460.185', 'c05.660.207.540.460.185', 'c07.320.440.185', 'c07.465.525.185', 'c07.650.500.460.185', 'c07.650.525.185', 'c16.131.621.207.540.460.185', 'c16.131.850.500.460.185', 'c16.131.850.525.185']"
micrognathism,"['c05.500.460.457', 'c05.660.207.540.460.457', 'c07.320.440.457', 'c07.650.500.460.457', 'c16.131.621.207.540.460.457', 'c16.131.850.500.460.457']"
pierre robin syndrome,"['c05.500.460.606', 'c05.660.207.540.460.606', 'c07.320.440.606', 'c07.650.500.460.606', 'c16.131.621.207.540.460.606', 'c16.131.850.500.460.606']"
prognathism,"['c05.500.460.655', 'c05.500.607.655', 'c05.660.207.540.460.655', 'c07.320.440.655', 'c07.320.610.655', 'c07.650.500.460.655', 'c16.131.621.207.540.460.655', 'c16.131.850.500.460.655']"
retrognathism,"['c05.500.460.813', 'c05.500.607.813', 'c05.660.207.540.460.813', 'c07.320.440.813', 'c07.320.610.813', 'c07.650.500.460.813', 'c16.131.621.207.540.460.813', 'c16.131.850.500.460.813']"
"jaw, edentulous","['c05.500.480', 'c07.320.480', 'c07.465.550.425', 'c07.793.597.425']"
"jaw, edentulous, partially","['c05.500.480.450', 'c07.320.480.450', 'c07.465.550.425.450', 'c07.793.597.425.450']"
mandibular diseases,"['c05.500.607', 'c07.320.610']"
craniomandibular disorders,"['c05.500.607.221', 'c05.651.243', 'c07.320.610.291']"
temporomandibular joint disorders,"['c05.500.607.221.897', 'c05.550.905', 'c05.651.243.897', 'c07.320.610.291.897', 'c07.678']"
temporomandibular joint dysfunction syndrome,"['c05.500.607.221.897.897', 'c05.550.905.905', 'c05.651.243.897.897', 'c05.651.550.905', 'c07.320.610.291.897.897', 'c07.678.949']"
maxillary diseases,"['c05.500.693', 'c07.320.660']"
joint diseases,['c05.550']
ankylosis,['c05.550.069']
arthralgia,"['c05.550.091', 'c23.888.646.130']"
shoulder pain,"['c05.550.091.700', 'c23.888.646.130.700', 'c23.888.646.793']"
arthritis,['c05.550.114']
"arthritis, experimental",['c05.550.114.015']
"arthritis, rheumatoid","['c05.550.114.154', 'c05.799.114', 'c17.300.775.099', 'c20.111.199']"
"arthritis, juvenile rheumatoid","['c05.550.114.154.114', 'c05.799.114.114', 'c17.300.775.099.114', 'c20.111.199.114']"
caplan syndrome,"['c05.550.114.154.219', 'c05.799.114.219', 'c08.381.483.581.300', 'c08.381.520.702.300', 'c17.300.775.099.219', 'c24.800.340']"
felty's syndrome,"['c05.550.114.154.389', 'c05.799.114.389', 'c17.300.775.099.389', 'c20.111.199.389']"
rheumatoid nodule,"['c05.550.114.154.683', 'c05.799.114.683', 'c17.300.775.099.683']"
rheumatoid vasculitis,"['c05.550.114.154.728', 'c05.799.114.728', 'c14.907.940.897.750', 'c17.300.775.099.728', 'c20.111.199.581']"
sjogren's syndrome,"['c05.550.114.154.774', 'c05.799.114.774', 'c07.465.815.929.669', 'c11.496.260.719', 'c17.300.775.099.774', 'c20.111.199.774']"
"still's disease, adult-onset","['c05.550.114.154.870', 'c05.799.114.870', 'c17.300.775.099.870', 'c20.111.199.870']"
chondrocalcinosis,['c05.550.114.264']
gout,"['c05.550.114.423', 'c05.799.414', 'c16.320.565.798.368', 'c18.452.648.798.368']"
"arthritis, gouty","['c05.550.114.423.410', 'c05.799.414.410', 'c16.320.565.798.368.410', 'c18.452.648.798.368.410']"
osteoarthritis,"['c05.550.114.606', 'c05.799.613']"
"osteoarthritis, hip","['c05.550.114.606.400', 'c05.799.613.400']"
"osteoarthritis, knee","['c05.550.114.606.500', 'c05.799.613.500']"
periarthritis,"['c05.550.114.678', 'c05.550.251.595']"
rheumatic nodule,"['c05.550.114.843.566', 'c05.799.825.566']"
wissler's syndrome,"['c05.550.114.843.823', 'c05.799.825.823', 'c20.543.928']"
sacroiliitis,['c05.550.114.854']
arthrogryposis,"['c05.550.150', 'c05.651.102', 'c05.660.077', 'c16.131.621.077']"
"arthropathy, neurogenic",['c05.550.186']
bursitis,['c05.550.251']
"chondromatosis, synovial",['c05.550.287']
contracture,"['c05.550.323', 'c05.651.197']"
hip contracture,"['c05.550.323.468', 'c05.651.197.468']"
ischemic contracture,"['c05.550.323.734', 'c05.651.180.531', 'c05.651.197.734', 'c14.907.303.531']"
femoracetabular impingement,"['c05.550.384', 'c23.550.347']"
hemarthrosis,"['c05.550.459', 'c23.550.414.794']"
"hip dislocation, congenital","['c05.550.485', 'c05.660.449', 'c16.131.621.449']"
hydrarthrosis,['c05.550.509']
"joint deformities, acquired",['c05.550.515']
joint instability,['c05.550.521']
joint loose bodies,['c05.550.535']
nail-patella syndrome,"['c05.550.629', 'c16.131.077.606', 'c16.320.600', 'c17.800.529.400']"
patellofemoral pain syndrome,['c05.550.700']
shoulder impingement syndrome,['c05.550.840']
synovitis,['c05.550.870']
"synovitis, pigmented villonodular",['c05.550.870.890']
muscular diseases,"['c05.651', 'c10.668.491']"
compartment syndromes,"['c05.651.180', 'c14.907.303']"
anterior compartment syndrome,"['c05.651.180.063', 'c14.907.303.063']"
intra-abdominal hypertension,"['c05.651.180.297', 'c14.907.303.297']"
dupuytren contracture,"['c05.651.197.270', 'c17.300.270']"
eosinophilia-myalgia syndrome,"['c05.651.290', 'c10.668.491.387', 'c15.378.553.231.335']"
fibromyalgia,"['c05.651.324', 'c05.799.321', 'c10.668.491.425']"
isaacs syndrome,"['c05.651.392', 'c10.668.402', 'c10.668.829.425']"
medial tibial stress syndrome,"['c05.651.426', 'c10.668.491.087', 'c26.558.705']"
mitochondrial myopathies,"['c05.651.460', 'c10.668.491.500', 'c18.452.660.560']"
mitochondrial encephalomyopathies,"['c05.651.460.620', 'c10.228.140.163.540', 'c10.668.491.500.500', 'c18.452.132.540', 'c18.452.660.560.620']"
melas syndrome,"['c05.651.460.620.520', 'c10.228.140.163.100.535', 'c10.228.140.300.275.500', 'c10.668.491.500.500.500', 'c14.907.253.329.500', 'c16.320.565.189.535', 'c18.452.132.100.535', 'c18.452.648.189.535', 'c18.452.660.560.620.520']"
merrf syndrome,"['c05.651.460.620.530', 'c10.228.140.163.100.545', 'c10.228.140.490.250.650.700', 'c10.668.491.500.500.550', 'c16.320.565.189.545', 'c18.452.132.100.545', 'c18.452.648.189.545', 'c18.452.660.560.620.530']"
"ophthalmoplegia, chronic progressive external","['c05.651.460.700', 'c10.292.562.750.250', 'c10.292.562.775', 'c10.597.622.447.511', 'c10.668.491.500.700', 'c11.590.472.250', 'c11.590.641', 'c18.452.660.560.700', 'c23.888.592.636.447.511']"
kearns-sayre syndrome,"['c05.651.460.700.500', 'c10.292.562.775.500', 'c10.668.491.500.700.500', 'c11.590.641.500', 'c11.768.585.658.500.627', 'c14.280.238.510', 'c18.452.660.410', 'c18.452.660.560.700.500']"
muscle cramp,"['c05.651.475', 'c10.597.613.500', 'c23.888.592.608.500']"
muscle rigidity,"['c05.651.504', 'c10.597.613.550.500', 'c23.888.592.608.550.500']"
muscle spasticity,"['c05.651.512', 'c10.597.613.550.550', 'c23.888.592.608.550.550']"
muscle weakness,"['c05.651.515', 'c10.597.613.593', 'c23.550.695', 'c23.888.592.608.593']"
"muscular disorders, atrophic","['c05.651.534', 'c10.668.491.175', 'c10.668.550']"
muscular dystrophies,"['c05.651.534.500', 'c10.668.491.175.500', 'c16.320.577']"
distal myopathies,"['c05.651.534.500.074', 'c10.668.491.175.500.074', 'c16.320.577.074']"
glycogen storage disease type vii,"['c05.651.534.500.149', 'c16.320.565.202.449.600', 'c16.320.577.149', 'c18.452.648.202.449.600']"
"muscular dystrophies, limb-girdle","['c05.651.534.500.280', 'c10.668.491.175.500.149', 'c16.320.577.280']"
sarcoglycanopathies,"['c05.651.534.500.280.500', 'c08.618.923', 'c10.668.491.175.500.149.500', 'c14.280.238.812', 'c16.320.577.280.500']"
"muscular dystrophy, duchenne","['c05.651.534.500.300', 'c10.668.491.175.500.300', 'c16.320.322.562', 'c16.320.577.300']"
"muscular dystrophy, emery-dreifuss","['c05.651.534.500.350', 'c10.668.491.175.500.350', 'c16.320.322.625', 'c16.320.577.350']"
"muscular dystrophy, facioscapulohumeral","['c05.651.534.500.400', 'c10.668.491.175.500.400', 'c16.320.577.400']"
"muscular dystrophy, oculopharyngeal","['c05.651.534.500.450', 'c10.668.491.175.500.450', 'c16.320.577.450']"
myotonic dystrophy,"['c05.651.534.500.500', 'c05.651.662.750', 'c10.574.500.547', 'c10.668.491.175.500.500', 'c10.668.491.606.750', 'c16.320.400.542', 'c16.320.577.500']"
myofascial pain syndromes,['c05.651.550']
"myopathies, structural, congenital","['c05.651.575', 'c10.668.491.550']"
"myopathies, nemaline","['c05.651.575.290', 'c10.668.491.550.290']"
"myopathy, central core","['c05.651.575.300', 'c10.668.491.550.300']"
myositis,"['c05.651.594', 'c10.668.491.562']"
dermatomyositis,"['c05.651.594.297', 'c05.651.594.819.500', 'c10.668.491.562.150', 'c10.668.491.562.575.500', 'c17.300.250', 'c17.800.185']"
"myositis, inclusion body","['c05.651.594.600', 'c10.668.491.562.500']"
myositis ossificans,['c05.651.594.638']
orbital myositis,"['c05.651.594.728', 'c10.668.491.562.537', 'c11.675.426']"
polymyositis,"['c05.651.594.819', 'c10.668.491.562.575']"
myotonic disorders,"['c05.651.662', 'c10.668.491.606']"
myotonia congenita,"['c05.651.662.500', 'c10.574.500.545', 'c10.668.491.606.500', 'c16.320.400.540']"
